PID1,PID2,B1,B2,PB,D1,D2,PD,PRODUCT,AVERAGE,DUPLICATE,
MRDP-PZ4,9DVT-5F5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPVY-H9P,LZFQ-4NH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KLWX-GDH,LWYV-YC1,+1893-11-26,+1893,1.0,missing,missing,0.5,0.5,0.75,Y,
9JNK-ZMR,9JNK-4NN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDP-PZ4,KZBF-RNG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR9C-CJY,MR9C-CK6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPVY-H9P,KJV7-V9M,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNK-ZMR,9JNK-DLK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDP-PZ4,K42S-YPW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNK-ZMR,MR5P-856,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRF3-TXM,M5TN-N3V,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNR-8NN,9JNT-QNP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRF3-TXM,M569-KPY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNR-8NN,MXLM-6WR,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRF3-TXM,MP63-3TV,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRF3-TXM,M564-VZZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRF3-TXM,KCD3-C38,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNR-QMT,9JNR-VWZ,missing,+1814,0.5,missing,missing,0.5,0.25,0.5,N,
9JNR-QMT,GM4W-W3K,missing,+1825,0.5,missing,+1829-10-30,0.5,0.25,0.5,N,
9JNR-QMT,9KWY-X98,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNR-QMT,9JN1-81B,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
